First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Family Income Numeric
ANIKET,aniket@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Email,,Students,2024,Patna,6.7,7,7 Lakh+,6,yes,8.0
Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Others,College,Students,2024,Amravati,8.2,3,0-2 Lakh,7,no,1.0
Dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Email,College,Students,2023,Kunrool,6.5,4,5-7 Lakh,7,no,6.0
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Email,College,Students,2025,Tirupati,8.7,7,2-5 Lakh,8,no,3.5
Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Instagram | LinkedIn | Cloud Counselage Website,College,Students,2024,Vijaywada,9.1,3,0-2 Lakh,10,yes,1.0
Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,College,Students,2026,Eluru,8.9,4,0-2 Lakh,6,no,1.0
Durga,durga@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,College,Students,2024,Guwahati,7.4,7,2-5 Lakh,6,no,3.5
Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2023,Nagaon,7.3,4,0-2 Lakh,7,no,1.0
Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Tezpur,8.6,4,0-2 Lakh,7,no,1.0
ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,College,Students,2024,Sivasagar,9.2,3,0-2 Lakh,8,no,1.0
Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,College,Students,2024,Burani,7.8,3,0-2 Lakh,10,yes,1.0
Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,College,Students,2023,Dehri,7.9,5,0-2 Lakh,6,yes,1.0
Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,College,Students,2023,Chapra,9.9,4,0-2 Lakh,8,no ,1.0
Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,LinkedIn,College,Students,2024,Darbhanga,8.1,5,0-2 Lakh,11,no ,1.0
Saba,saba@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,College,Students,2023,Gaya,9.5,7,0-2 Lakh,20,yes,1.0
Apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Others,College,Students,2024,Haijipur,9.8,5,0-2 Lakh,5,yes,1.0
Tanmay,tanmay@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Cloud Counselage Website,College,Students,2025,Kaithar,9.6,5,0-2 Lakh,9,no,1.0
SUMIT,sumit@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,College,Students,2025,Motihari,6.2,5,0-2 Lakh,5,no,1.0
Shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Others,College,Students,2024,Munger,9.1,7,0-2 Lakh,21,yes,1.0
Shreyas,shreyas@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,College,Students,2026,Patna,7.2,5,0-2 Lakh,9,no,1.0
Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Others,College,Students,2023,Muzaffarpur,9.5,5,0-2 Lakh,13,no,1.0
Swapnil,swapnil@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,College,Students,2025,Sasaram,6.8,3,0-2 Lakh,15,no,1.0
Manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Instagram | Whatsapp | Email,College,Students,2023,Siwan,8.4,7,0-2 Lakh,14,no,1.0
Hemant ,hemant@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,College,Students,2025,Ambikapur,6.6,3,2-5 Lakh,5,yes,3.5
Gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,College,Students,2024,Bhilai,6.7,7,2-5 Lakh,20,yes,3.5
Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,College,Students,2025,Raipur,8.3,7,2-5 Lakh,14,no ,3.5
Jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Youtube,College,Students,2024,Daman,6.3,7,2-5 Lakh,16,yes,3.5
Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Whatsapp | Others,College,Students,2025,Diu,8.9,3,2-5 Lakh,9,yes,3.5
Ashish,ashish@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,College,Students,2024,Silvassa,9.5,5,2-5 Lakh,8,no,3.5
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,College,Students,2023,Delhi,8.5,3,2-5 Lakh,9,no,3.5
Pooja ,pooja@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,College,Students,2026,New Delhi,8.5,3,2-5 Lakh,7,no,3.5
Shubham,shubham@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,College,Students,2023,Panji,8.8,4,2-5 Lakh,8,yes,3.5
Prachi,prachi@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,College,Students,2025,Madgaon,7.9,7,0-2 Lakh,6,no,1.0
Priya,priya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Instagram | Whatsapp,College,Students,2024,Ahemdabad,7.5,4,0-2 Lakh,8,no,1.0
Ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Youtube | Whatsapp | Email,College,Students,2023,Amreli,8.3,5,2-5 Lakh,21,no,3.5
Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,College,Students,2024,Dwarka,6.4,3,5-7 Lakh,5,no,6.0
